plant_id,gourd_type,variety_name,planting_date,days_since_planting,season,region_climate,avg_temperature,avg_humidity,avg_rainfall_mm,sunlight_hours,soil_ph,soil_moisture,soil_type,fertilizer_type,fertilizer_frequency,watering_frequency,plant_health_score,vine_length_cm,leaf_count,predicted_days_to_flower,actual_days_to_flower,male_flower_count,female_flower_count,is_hand_pollinated,pollinated_count,successful_pollinations,pollination_success_rate,days_to_pollination_result,predicted_days_to_maturity,mature_fruit_count,avg_fruit_weight_kg,total_yield_kg
PLT_00013,bottle_gourd,upo_long,2025-07-16,69,wet,tropical_lowland,31.6,72.8,16.8,4.3,7.1,76.3,silty,chemical,biweekly,every_other_day,4,570.6,100,45,43.0,33,14,1,12,9,0.66,10,57,0,,
PLT_00014,bitter_gourd,ampalaya_oblong,2024-08-18,39,wet,tropical_lowland,28.0,77.0,24.5,6.7,7.0,73.4,loamy,chemical,biweekly,daily,4,174.9,30,40,,0,0,1,0,0,0.573,3,50,0,,
PLT_00015,bitter_gourd,ampalaya_oblong,2024-03-10,92,dry,tropical_lowland,24.1,57.0,6.6,7.0,6.0,66.5,loamy,chemical,monthly,every_other_day,4,429.9,67,45,48.0,63,21,1,21,13,0.532,10,51,0,,
PLT_00016,cucumber,pipino,2025-04-29,84,dry,tropical_highland,33.3,68.2,5.7,7.3,6.3,58.0,loamy,organic,none,twice_daily,5,513.8,84,33,35.0,69,30,1,26,19,0.813,3,37,19,0.27,5.13
PLT_00017,bitter_gourd,ampalaya_bilog,2024-12-13,84,dry,subtropical,26.1,69.4,2.8,7.1,6.7,55.3,sandy,chemical,none,daily,3,254.9,42,44,41.0,47,12,0,9,2,0.473,10,47,0,,
PLT_00018,squash,kalabasa,2024-02-21,92,dry,tropical_highland,33.4,61.3,1.7,8.7,7.1,70.9,loamy,chemical,biweekly,twice_daily,3,557.2,94,44,41.0,80,20,0,19,6,0.401,5,55,0,,
PLT_00019,sponge_gourd,patola_smooth,2025-02-03,54,dry,subtropical,33.7,69.8,7.0,9.1,6.3,58.8,clay,none,none,daily,4,403.3,67,44,43.0,13,5,0,1,1,0.412,3,48,0,,
PLT_00020,bitter_gourd,ampalaya_hybrid,2024-02-28,40,dry,tropical_highland,31.7,70.9,8.9,8.0,6.3,52.8,silty,chemical,weekly,every_other_day,4,215.9,36,40,37.0,3,1,0,0,0,0.517,6,43,0,,
PLT_00021,bottle_gourd,upo_round,2025-08-06,104,wet,tropical_lowland,26.2,70.7,26.5,5.1,6.0,65.7,loamy,organic,none,every_other_day,4,779.1,100,46,45.0,89,30,0,28,18,0.667,8,49,18,2.99,53.82
PLT_00022,bottle_gourd,upo_round,2025-02-09,31,dry,tropical_lowland,27.0,63.8,0.8,7.1,7.1,75.1,clay,none,monthly,daily,3,132.4,30,49,,0,0,1,0,0,0.404,4,55,0,,
PLT_00023,bottle_gourd,upo_round,2025-07-04,61,wet,subtropical,29.3,84.3,23.2,4.8,7.1,72.1,clay,chemical,monthly,daily,4,407.4,64,48,51.0,25,8,0,7,5,0.381,7,56,0,,
PLT_00024,squash,kalabasa,2025-10-31,44,wet,tropical_highland,28.8,72.0,19.8,5.4,6.0,63.0,clay,organic,biweekly,twice_daily,4,359.7,53,45,,0,0,1,0,0,0.673,5,53,0,,
PLT_00025,squash,kalabasa,2024-10-15,92,wet,tropical_highland,29.8,80.1,27.1,6.0,6.0,52.1,clay,chemical,monthly,every_other_day,3,547.1,92,45,42.0,52,17,1,13,5,0.53,9,55,0,,
PLT_00026,sponge_gourd,patola,2024-01-04,120,dry,subtropical,30.0,73.8,3.9,9.9,7.1,55.9,clay,chemical,none,every_other_day,4,633.1,100,38,35.0,85,30,1,26,12,0.529,5,44,12,0.65,7.8
PLT_00027,squash,kalabasa_hybrid,2025-01-13,69,dry,subtropical,30.9,72.5,7.4,9.4,6.2,55.3,sandy,none,biweekly,daily,4,686.7,100,47,45.0,44,12,1,8,3,0.401,6,57,0,,
PLT_00028,bitter_gourd,ampalaya_oblong,2025-11-13,52,wet,tropical_highland,31.2,78.6,25.0,6.3,5.9,77.1,silty,chemical,biweekly,daily,3,193.4,32,45,43.0,19,5,0,3,2,0.449,6,49,0,,
PLT_00029,bitter_gourd,ampalaya_oblong,2025-12-19,88,dry,subtropical,34.5,66.5,6.3,8.3,6.2,59.9,loamy,none,biweekly,daily,4,561.0,90,47,45.0,66,20,0,17,5,0.37,3,52,0,,
PLT_00030,sponge_gourd,patola_smooth,2025-02-12,95,dry,tropical_lowland,27.9,57.3,1.4,9.3,6.7,53.0,loamy,mixed,monthly,every_other_day,4,407.6,65,39,38.0,79,28,1,28,15,0.547,3,46,15,0.34,5.1
PLT_00031,squash,kalabasa_native,2024-07-01,70,wet,subtropical,31.9,77.5,17.4,6.4,7.1,79.6,loamy,organic,none,twice_daily,4,379.2,65,44,42.0,47,15,1,15,9,0.704,9,55,0,,
PLT_00032,bitter_gourd,ampalaya_hybrid,2024-09-17,85,wet,subtropical,28.8,71.1,12.4,4.4,6.7,72.4,silty,organic,biweekly,twice_daily,4,435.6,73,40,43.0,53,18,1,16,13,0.665,8,48,0,,
PLT_00033,sponge_gourd,patola_ridged,2024-05-07,119,dry,subtropical,34.6,55.2,9.7,7.1,7.0,65.8,clay,none,monthly,twice_daily,4,725.0,100,43,45.0,74,30,1,27,13,0.428,9,50,13,0.75,9.75
PLT_00034,squash,kalabasa_hybrid,2024-06-27,66,wet,tropical_highland,26.3,75.6,29.0,6.7,6.4,68.6,clay,none,weekly,twice_daily,5,603.8,98,43,43.0,39,13,1,13,8,0.464,8,53,0,,
PLT_00035,bottle_gourd,upo_round,2025-03-28,95,dry,tropical_lowland,34.7,74.7,7.0,8.6,6.2,74.4,silty,chemical,weekly,twice_daily,3,615.9,100,50,48.0,45,17,0,14,7,0.47,6,62,0,,
PLT_00036,bitter_gourd,ampalaya_bilog,2024-01-26,110,dry,tropical_lowland,34.9,58.0,5.9,8.1,7.2,75.3,silty,organic,none,twice_daily,4,576.9,100,40,38.0,87,30,1,29,18,0.574,9,49,18,0.42,7.56
PLT_00037,bitter_gourd,ampalaya_bilog,2025-11-02,96,wet,tropical_lowland,31.7,87.0,14.9,5.4,6.0,78.6,silty,chemical,biweekly,every_other_day,3,433.1,65,44,47.0,56,21,0,18,6,0.47,10,51,6,0.42,2.52
PLT_00038,squash,kalabasa_hybrid,2025-04-20,87,dry,tropical_lowland,29.7,72.0,5.5,8.7,7.0,62.1,clay,none,none,every_other_day,4,741.3,100,48,51.0,45,16,1,15,9,0.522,7,50,0,,
PLT_00039,sponge_gourd,patola_ridged,2025-10-14,39,wet,tropical_lowland,28.4,78.7,28.1,5.0,6.5,73.5,silty,chemical,monthly,twice_daily,5,363.2,60,35,33.0,7,3,0,2,1,0.588,4,44,0,,
PLT_00040,cucumber,pipino_native,2024-08-24,82,wet,tropical_highland,29.0,76.6,22.7,4.7,5.9,53.9,sandy,chemical,weekly,twice_daily,3,218.1,32,36,36.0,31,17,1,16,6,0.488,6,42,6,0.32,1.92
PLT_00041,bitter_gourd,ampalaya_hybrid,2025-08-21,68,wet,tropical_highland,27.0,73.8,10.8,4.5,6.2,55.3,silty,none,weekly,twice_daily,3,259.7,53,45,43.0,28,11,1,10,6,0.426,6,51,0,,
PLT_00042,cucumber,pipino_japanese,2024-10-06,116,wet,tropical_highland,26.5,87.5,28.4,4.2,6.2,74.2,loamy,none,monthly,every_other_day,4,420.9,73,35,36.0,56,30,1,29,15,0.541,3,37,15,0.24,3.6
PLT_00043,bitter_gourd,ampalaya_bilog,2025-07-31,36,wet,tropical_lowland,28.8,84.9,10.7,4.8,6.8,76.9,silty,chemical,none,daily,5,194.5,40,42,,0,0,0,0,0,0.387,8,43,0,,
PLT_00044,sponge_gourd,patola_smooth,2025-04-10,40,dry,tropical_lowland,28.2,55.4,3.2,7.6,6.3,53.6,silty,mixed,none,twice_daily,4,268.7,49,39,41.0,11,4,0,4,0,0.447,8,45,0,,
PLT_00045,bitter_gourd,ampalaya_bilog,2024-03-11,49,dry,tropical_highland,29.9,66.7,7.5,8.3,6.0,58.5,sandy,chemical,weekly,every_other_day,4,279.9,40,39,41.0,11,4,0,0,0,0.512,6,46,0,,
PLT_00046,sponge_gourd,patola,2024-09-19,104,wet,subtropical,27.0,73.7,15.7,4.5,7.1,52.4,loamy,chemical,monthly,daily,3,618.5,100,36,34.0,42,20,1,20,12,0.531,9,47,12,0.73,8.76
PLT_00047,squash,kalabasa_hybrid,2024-03-18,106,dry,subtropical,33.0,60.2,1.7,9.0,7.1,66.7,sandy,organic,monthly,every_other_day,3,703.4,100,44,44.0,60,19,1,19,7,0.49,8,53,7,1.9,13.3
PLT_00048,sponge_gourd,patola,2025-11-08,43,wet,tropical_lowland,29.7,75.8,21.6,4.5,6.5,66.0,clay,organic,none,twice_daily,4,195.1,30,37,39.0,12,6,1,5,2,0.641,9,48,0,,
PLT_00049,sponge_gourd,patola_ridged,2025-06-18,105,wet,tropical_highland,30.1,85.2,21.9,5.4,6.4,60.5,silty,none,none,every_other_day,4,496.1,83,43,41.0,75,29,0,26,8,0.382,7,45,8,0.7,5.6
PLT_00050,squash,kalabasa_hybrid,2025-04-20,71,dry,tropical_highland,26.2,58.3,1.6,9.4,6.7,65.7,silty,mixed,weekly,twice_daily,4,494.3,81,44,45.0,41,11,1,9,4,0.482,8,52,0,,
PLT_00051,sponge_gourd,patola_ridged,2025-12-19,82,dry,tropical_highland,29.1,61.0,7.5,8.5,6.1,77.0,loamy,chemical,weekly,daily,4,625.3,100,35,38.0,73,25,1,22,13,0.538,10,41,13,0.37,4.81
PLT_00052,bitter_gourd,ampalaya_oblong,2024-01-18,114,dry,subtropical,32.7,67.4,5.3,9.7,6.9,54.6,sandy,none,biweekly,twice_daily,4,710.4,100,43,44.0,77,30,1,30,16,0.518,9,49,16,0.46,7.36
PLT_00053,sponge_gourd,patola_ridged,2024-12-04,59,dry,tropical_lowland,27.8,71.4,1.1,9.5,6.0,61.9,silty,mixed,monthly,twice_daily,4,290.1,53,39,37.0,18,7,1,5,1,0.674,5,46,0,,
PLT_00054,sponge_gourd,patola_ridged,2025-05-10,59,dry,tropical_highland,26.8,61.9,1.8,9.7,6.6,62.0,clay,organic,biweekly,twice_daily,5,340.2,56,37,34.0,36,14,0,10,9,0.696,5,44,0,,
PLT_00055,squash,kalabasa_native,2024-02-25,103,dry,tropical_lowland,24.2,72.4,9.3,8.7,6.8,77.7,sandy,none,weekly,daily,3,608.8,95,49,48.0,68,19,1,18,9,0.51,5,55,0,,
PLT_00056,bitter_gourd,ampalaya_bilog,2025-05-04,110,dry,tropical_lowland,34.8,71.8,1.2,9.8,7.0,65.6,silty,none,weekly,every_other_day,3,343.6,65,43,40.0,57,19,0,19,6,0.3,4,46,6,0.34,2.04
PLT_00057,cucumber,pipino_native,2025-07-25,68,wet,tropical_lowland,31.5,76.9,16.9,6.2,6.4,56.7,sandy,none,none,twice_daily,3,180.0,17,38,40.0,31,13,0,13,2,0.334,4,44,0,,
PLT_00058,sponge_gourd,patola_ridged,2024-08-04,100,wet,tropical_highland,29.8,70.3,23.3,4.5,7.1,54.5,loamy,chemical,biweekly,daily,3,599.1,99,39,36.0,45,18,0,17,8,0.402,10,48,8,0.67,5.36
PLT_00059,sponge_gourd,patola_ridged,2024-08-25,59,wet,tropical_lowland,27.3,88.0,14.1,4.6,5.9,64.2,clay,none,weekly,every_other_day,3,314.3,59,44,45.0,15,6,1,6,1,0.3,9,52,0,,
PLT_00060,bottle_gourd,upo_long,2024-08-18,69,wet,tropical_highland,26.9,73.6,27.2,6.8,6.3,58.1,sandy,organic,weekly,daily,3,264.0,53,44,45.0,20,9,1,8,5,0.648,9,60,0,,
PLT_00061,cucumber,pipino_japanese,2025-07-06,71,wet,subtropical,26.2,74.4,14.6,6.0,5.8,53.1,loamy,organic,none,every_other_day,3,264.0,42,34,37.0,23,13,0,10,7,0.506,3,41,0,,
PLT_00062,squash,kalabasa,2024-10-02,53,wet,tropical_highland,31.0,77.9,23.4,4.6,6.2,76.9,sandy,none,none,twice_daily,4,376.7,57,47,47.0,23,6,1,5,0,0.42,10,59,0,,
PLT_00063,sponge_gourd,patola_ridged,2024-12-07,118,dry,tropical_highland,26.9,62.6,5.9,7.8,6.7,62.3,loamy,chemical,monthly,twice_daily,3,458.2,81,44,41.0,81,29,0,28,14,0.411,3,46,14,0.43,6.02
PLT_00064,sponge_gourd,patola_smooth,2024-11-18,99,wet,subtropical,29.2,82.7,15.2,4.4,7.0,79.5,loamy,none,weekly,every_other_day,3,377.9,63,41,44.0,46,23,1,20,9,0.341,8,49,9,0.58,5.22
PLT_00065,cucumber,pipino,2025-05-25,86,dry,tropical_highland,31.2,71.6,2.1,7.0,6.0,77.0,sandy,mixed,biweekly,twice_daily,4,412.9,64,35,36.0,65,27,0,27,14,0.545,5,33,14,0.28,3.92
PLT_00066,squash,kalabasa_native,2024-01-15,45,dry,tropical_highland,24.5,58.3,7.4,7.2,6.6,57.4,loamy,chemical,weekly,twice_daily,3,228.8,34,42,45.0,4,1,1,1,1,0.493,7,52,0,,
PLT_00067,cucumber,pipino,2025-05-09,106,dry,tropical_highland,29.2,68.3,9.4,9.2,6.1,50.9,silty,chemical,none,daily,4,334.4,69,30,29.0,55,30,1,27,13,0.56,7,37,13,0.17,2.21
PLT_00068,sponge_gourd,patola,2025-06-03,87,wet,tropical_highland,30.4,79.9,23.8,5.3,6.1,74.6,clay,mixed,none,daily,4,442.7,79,40,39.0,67,26,1,24,16,0.591,9,45,16,0.76,12.16
PLT_00069,bottle_gourd,upo_round,2024-07-12,70,wet,tropical_highland,26.8,89.0,18.9,4.6,6.6,76.2,silty,chemical,none,daily,4,534.5,93,48,45.0,33,14,1,13,8,0.528,5,51,0,,
PLT_00070,squash,kalabasa_hybrid,2024-05-09,97,dry,tropical_lowland,34.9,73.9,0.4,9.1,7.1,55.4,clay,organic,none,daily,4,501.5,84,44,44.0,99,28,0,25,15,0.554,5,56,0,,
PLT_00071,sponge_gourd,patola_ridged,2024-09-28,98,wet,subtropical,31.8,88.9,19.5,6.6,7.0,59.6,silty,organic,monthly,every_other_day,3,329.4,56,40,37.0,51,22,1,21,13,0.534,3,48,13,0.46,5.98
PLT_00072,sponge_gourd,patola,2024-08-28,120,wet,tropical_highland,29.2,85.8,16.4,5.9,7.0,68.5,loamy,none,weekly,every_other_day,4,930.8,100,43,46.0,84,30,1,28,10,0.428,3,50,10,0.54,5.4
PLT_00073,sponge_gourd,patola_smooth,2024-02-27,97,dry,tropical_lowland,30.9,72.5,9.8,9.3,6.4,62.6,clay,none,biweekly,daily,3,323.1,47,45,46.0,46,20,1,17,5,0.366,5,42,5,0.64,3.2
PLT_00074,squash,kalabasa_hybrid,2025-01-26,89,dry,subtropical,26.4,74.0,7.9,7.3,6.4,76.4,sandy,none,biweekly,daily,3,538.5,93,48,49.0,41,15,1,11,6,0.435,7,58,0,,
PLT_00075,bitter_gourd,ampalaya_oblong,2024-06-10,62,wet,tropical_lowland,29.6,80.3,14.6,4.5,6.1,55.6,clay,mixed,none,every_other_day,3,194.1,30,44,42.0,36,10,1,7,5,0.507,10,47,0,,
PLT_00076,squash,kalabasa_native,2025-01-25,80,dry,tropical_highland,33.0,59.5,2.2,8.6,6.6,67.4,clay,mixed,weekly,every_other_day,4,755.5,100,42,45.0,71,18,0,14,9,0.499,10,57,0,,
PLT_00077,squash,kalabasa_native,2024-08-23,114,wet,tropical_lowland,29.9,81.0,11.7,5.2,6.3,57.8,sandy,chemical,monthly,every_other_day,3,462.1,80,48,49.0,55,21,1,17,7,0.441,10,57,7,3.18,22.26
PLT_00078,bottle_gourd,upo_smooth,2025-01-08,55,dry,tropical_lowland,30.5,71.5,3.5,9.0,6.6,58.0,clay,mixed,none,daily,5,524.8,89,45,44.0,16,5,1,3,3,0.684,7,56,0,,
PLT_00079,sponge_gourd,patola_ridged,2025-05-08,48,dry,tropical_lowland,33.2,68.9,6.8,8.9,6.9,54.8,clay,organic,none,daily,4,334.8,58,36,39.0,14,5,1,4,4,0.589,8,46,0,,
PLT_00080,bitter_gourd,ampalaya_oblong,2025-02-08,116,dry,tropical_highland,27.2,67.3,9.8,8.9,6.2,69.0,loamy,none,monthly,every_other_day,4,501.2,85,47,44.0,109,30,1,28,11,0.482,6,48,11,0.27,2.97
PLT_00081,squash,kalabasa_native,2025-09-26,68,wet,tropical_highland,29.8,88.6,12.1,6.8,6.8,52.0,sandy,organic,none,every_other_day,4,362.9,51,39,36.0,55,16,0,12,5,0.574,7,54,0,,
PLT_00082,bottle_gourd,upo_round,2024-04-09,115,dry,tropical_highland,32.3,55.5,0.2,8.0,6.5,73.1,sandy,none,none,twice_daily,4,700.9,100,49,50.0,105,30,1,27,10,0.344,4,49,10,1.41,14.1
PLT_00083,sponge_gourd,patola,2025-02-21,60,dry,tropical_lowland,32.7,68.9,2.2,7.2,6.8,69.6,clay,chemical,none,twice_daily,3,349.9,68,39,39.0,22,9,0,7,5,0.359,8,51,0,,
PLT_00084,bottle_gourd,upo_smooth,2024-10-09,111,wet,subtropical,27.4,74.3,10.6,6.0,6.3,75.9,silty,organic,biweekly,every_other_day,4,637.4,100,46,44.0,86,26,0,24,14,0.608,5,57,14,3.11,43.54
PLT_00085,squash,kalabasa,2024-03-11,106,dry,tropical_lowland,32.4,67.5,1.3,7.1,7.1,68.5,sandy,chemical,monthly,daily,3,444.1,76,48,45.0,50,16,0,13,4,0.383,7,58,4,1.72,6.88
PLT_00086,bitter_gourd,ampalaya_bilog,2025-11-07,71,wet,subtropical,29.5,75.4,26.0,4.9,6.4,50.3,loamy,mixed,biweekly,every_other_day,3,289.7,45,42,39.0,24,7,0,3,1,0.557,9,46,0,,
PLT_00087,cucumber,pipino_japanese,2024-03-06,58,dry,subtropical,33.5,70.6,0.4,8.4,5.9,57.3,clay,organic,none,every_other_day,5,370.3,61,31,28.0,22,12,1,12,8,0.666,10,34,0,,
PLT_00088,cucumber,pipino_japanese,2024-03-03,86,dry,tropical_lowland,27.9,55.7,0.8,8.2,6.0,67.0,silty,organic,none,every_other_day,4,309.6,55,33,31.0,37,22,1,20,15,0.646,5,35,15,0.33,4.95
PLT_00089,squash,kalabasa_hybrid,2024-10-08,94,wet,tropical_highland,26.2,88.7,11.0,5.6,6.8,76.1,clay,none,monthly,twice_daily,4,629.5,100,48,48.0,86,23,0,19,10,0.415,6,62,0,,
PLT_00090,cucumber,pipino_japanese,2024-08-21,42,wet,subtropical,29.2,84.6,11.6,4.2,6.1,54.8,silty,none,none,every_other_day,3,186.7,33,37,37.0,7,4,1,2,1,0.409,5,38,0,,
PLT_00091,bitter_gourd,ampalaya_bilog,2024-03-09,77,dry,subtropical,31.2,65.0,5.6,9.2,6.1,79.9,loamy,none,weekly,every_other_day,4,354.1,57,45,42.0,33,13,1,13,8,0.457,8,47,0,,
PLT_00092,sponge_gourd,patola_ridged,2025-02-24,69,dry,subtropical,33.6,69.5,7.4,8.3,6.3,61.1,silty,organic,monthly,every_other_day,3,297.8,55,40,40.0,33,12,0,12,5,0.534,5,48,0,,
PLT_00093,bitter_gourd,ampalaya_oblong,2024-08-17,58,wet,subtropical,31.4,78.4,15.5,5.8,7.1,56.3,clay,organic,monthly,every_other_day,4,359.6,62,42,44.0,39,10,1,10,8,0.607,3,46,0,,
PLT_00094,sponge_gourd,patola,2025-12-11,74,dry,tropical_lowland,34.7,58.6,8.5,8.5,6.1,76.1,sandy,mixed,monthly,twice_daily,4,402.3,53,41,39.0,31,12,0,9,6,0.439,9,44,0,,
PLT_00095,bitter_gourd,ampalaya_bilog,2025-10-10,73,wet,tropical_lowland,31.8,75.2,23.1,5.0,6.9,53.9,sandy,none,none,twice_daily,4,343.7,47,45,43.0,41,11,0,9,6,0.407,4,43,0,,
PLT_00096,squash,kalabasa,2024-06-10,84,wet,subtropical,29.7,84.1,13.3,4.5,5.9,72.1,loamy,mixed,none,every_other_day,3,580.9,100,43,40.0,67,18,1,17,10,0.594,6,58,0,,
PLT_00097,cucumber,pipino,2024-12-19,58,dry,tropical_highland,26.3,57.2,2.7,7.2,6.5,78.1,clay,none,monthly,daily,4,229.0,35,36,34.0,21,13,1,9,2,0.449,6,40,0,,
PLT_00098,sponge_gourd,patola_smooth,2024-05-20,85,dry,tropical_lowland,29.0,65.3,4.9,9.0,6.0,50.9,clay,organic,weekly,twice_daily,4,408.6,63,40,40.0,51,19,0,19,9,0.519,8,51,0,,
PLT_00099,cucumber,pipino,2024-02-13,84,dry,tropical_highland,33.5,58.5,6.9,9.5,7.1,70.5,silty,organic,monthly,every_other_day,5,588.7,96,31,28.0,73,30,1,29,19,0.644,4,40,19,0.2,3.8
PLT_00100,bottle_gourd,upo_round,2024-11-28,43,wet,subtropical,30.0,77.9,23.0,4.3,6.7,80.0,silty,mixed,weekly,twice_daily,5,437.0,72,46,,0,0,0,0,0,0.638,9,55,0,,
PLT_00101,cucumber,pipino_japanese,2024-03-21,39,dry,tropical_highland,33.7,63.1,3.3,9.0,6.9,72.9,clay,chemical,monthly,daily,3,159.5,27,38,37.0,8,5,1,5,4,0.418,6,38,0,,
PLT_00102,bottle_gourd,upo_smooth,2025-10-22,52,wet,subtropical,28.4,83.9,17.8,5.3,6.1,61.2,loamy,chemical,monthly,daily,3,291.6,54,51,51.0,3,1,1,0,0,0.525,5,56,0,,
PLT_00103,squash,kalabasa_hybrid,2025-04-20,86,dry,tropical_highland,29.7,64.6,0.3,8.0,6.3,62.0,silty,mixed,monthly,daily,5,864.2,100,46,47.0,72,20,1,18,12,0.69,3,55,0,,
PLT_00104,sponge_gourd,patola_smooth,2024-03-16,66,dry,tropical_highland,26.7,73.5,0.6,9.8,6.3,53.0,silty,organic,weekly,twice_daily,4,339.2,56,35,36.0,28,12,1,8,7,0.664,9,50,0,,
PLT_00105,bitter_gourd,ampalaya_oblong,2025-07-21,49,wet,tropical_lowland,27.9,82.2,24.3,4.8,6.4,53.7,sandy,mixed,none,every_other_day,4,222.7,46,38,36.0,5,2,1,1,0,0.618,5,43,0,,
PLT_00106,cucumber,pipino_japanese,2025-12-25,79,dry,tropical_lowland,34.6,64.7,8.1,8.7,5.9,69.0,sandy,mixed,monthly,twice_daily,4,431.1,75,34,33.0,55,23,1,23,10,0.536,8,37,10,0.3,3.0
PLT_00107,squash,kalabasa_hybrid,2024-04-06,114,dry,tropical_highland,28.5,71.8,9.0,8.1,6.1,73.4,silty,mixed,monthly,every_other_day,4,811.5,100,41,43.0,103,30,0,30,16,0.575,8,61,16,2.09,33.44
PLT_00108,cucumber,pipino,2025-12-16,72,dry,subtropical,32.1,72.3,2.2,7.3,5.8,69.3,loamy,mixed,none,every_other_day,3,199.6,44,37,36.0,21,11,1,11,4,0.532,9,48,0,,
PLT_00109,sponge_gourd,patola_smooth,2024-01-19,54,dry,tropical_lowland,34.9,57.7,7.0,8.2,6.4,71.5,sandy,chemical,monthly,twice_daily,4,275.2,40,44,45.0,9,4,1,1,0,0.432,7,47,0,,
PLT_00110,squash,kalabasa,2025-07-06,50,wet,tropical_lowland,26.4,86.0,14.7,5.6,7.0,69.5,clay,chemical,none,daily,3,249.9,44,41,41.0,7,2,1,2,0,0.564,10,58,0,,
PLT_00111,bottle_gourd,upo_long,2025-01-08,60,dry,subtropical,29.1,56.2,5.6,9.9,6.0,70.7,clay,none,biweekly,every_other_day,3,242.4,48,48,49.0,13,5,1,4,1,0.386,8,60,0,,
PLT_00112,cucumber,pipino_japanese,2025-03-27,107,dry,subtropical,34.2,59.7,4.0,7.5,7.2,77.8,silty,none,biweekly,daily,4,488.2,82,38,35.0,64,30,1,26,12,0.42,8,38,12,0.18,2.16
PLT_00113,squash,kalabasa,2025-12-29,87,dry,tropical_highland,33.1,70.6,7.1,7.1,6.2,57.9,clay,organic,biweekly,twice_daily,4,842.6,100,41,40.0,77,25,0,24,12,0.571,6,62,0,,
PLT_00114,cucumber,pipino,2024-01-28,40,dry,tropical_lowland,29.7,73.4,5.0,10.0,7.0,56.3,silty,mixed,biweekly,twice_daily,4,225.4,43,31,29.0,14,6,0,4,0,0.554,8,40,0,,
PLT_00115,sponge_gourd,patola_smooth,2024-02-09,30,dry,tropical_highland,27.4,56.6,4.0,7.5,6.8,60.4,sandy,none,none,every_other_day,3,164.0,27,44,,0,0,1,0,0,0.42,3,52,0,,
